docId,filename,0 2006 819 pontiac,1 day june july,2 1 april 2003,3 march lot la,4 fair 1 4,5 4 2000 2001,6 sept oct de,7 de la des,8 2 4 3,9 1 shawville pontiac
6,83471_2000-02-09.txt,0.004465857101925036,0.01623733176652307,0.04277042421518615,0.006935766217580381,0.010720687387716275,0.2590667076282115,0.0010785878992480339,0.12691847946588375,0.2317181834951026,0.3000879748226232
7,83471_2000-02-16.txt,3.42592776682496E-4,0.002849680165885418,0.08062586270205363,0.014445781748066763,0.010434515916591823,0.2811264139840941,0.014351917641847997,0.17806054619954173,0.16854036331139333,0.24922232555384274
8,83471_2000-02-23.txt,7.264945608315105E-4,0.0034677115067292892,0.058570182807767136,0.021670320277476948,0.016489748724847222,0.24408652481388673,3.272563630187927E-4,0.12686650380898876,0.24841997099623983,0.27937528614021373
9,83471_2000-03-01.txt,2.202788233277514E-4,0.005965853708044767,0.057565759608163854,0.037421528487665195,0.00780401572640705,0.2833800635635264,0.003836611709484035,0.1503318764699205,0.1617153856000619,0.29175862630339855
10,83471_2000-03-08.txt,3.5097414229490884E-5,0.006888882225070893,0.1051146447935584,0.07058149706262859,0.0027118246803664813,0.2589544936781699,9.162678217378421E-4,0.22614049880748596,0.11383519177622918,0.21482160174052325
11,83471_2000-03-15.txt,6.800610368475248E-4,5.807016988977407E-4,0.07192975409420427,0.3187928038719719,9.844620263662262E-4,0.1718520266271022,0.0034380557460641672,0.1455575322093459,0.06773847790032926,0.2184461247888708
12,83471_2000-03-22.txt,0.0028504403800931216,0.0068203162645742,0.12859161265781976,0.05721089478961857,0.028678978943245136,0.26249050520936,0.0016631217212133519,0.1195001278438641,0.07255082634239042,0.3196431758478213
13,83471_2000-03-29.txt,0.003558975443192914,0.0037907755314003635,0.14014928977244243,0.2624740443712852,0.01234541141025443,0.19150250046023032,6.22593225641167E-4,0.10501796164638671,0.045528518442478044,0.23500992969668844
14,83471_2000-04-05.txt,0.0020641664790241637,0.006034008779924258,0.23639960978508345,0.028959793232786964,0.023430788073321697,0.2549383526777687,4.168711105804755E-4,0.10029289035638328,0.07556008297313006,0.27190343653199694
15,83471_2000-04-12.txt,0.020711498795364384,0.010418790200826509,0.27916138598320883,0.01132398380895437,0.027142285018945986,0.2391400716288705,0.007954512545862423,0.026764732263744775,0.046366304172865,0.33101643558135724
16,83471_2000-04-19.txt,0.0023491664567526186,0.015251563567221472,0.23627571529483102,0.01783743182132142,0.01508245612346206,0.2604534610527316,0.014971552700370858,0.1406928741681894,0.02106381740737642,0.27602196140774315
17,83471_2000-04-26.txt,0.0034071113540439625,0.016102567613270384,0.2362710969479097,0.010577517634276775,0.003931051551623944,0.24241776435845322,0.034377699038331676,0.17259651000368406,0.008360271704853036,0.27195840979355324
18,83471_2000-05-03.txt,4.7150698301974797E-4,0.025131653521027485,0.1801743382871814,0.009442510925311799,0.019108005556194272,0.34681217529266145,0.0071116166594812165,0.12054729715539227,0.029266898359066772,0.26193399726066363
19,83471_2000-05-10.txt,0.0023360016085088925,0.05390631004074328,0.16972818435771309,0.0037602628771017635,0.026945635727885497,0.32377413941580835,0.0077929528146375516,0.12261307691516053,0.007353507422571714,0.2817899288198693
20,83471_2000-05-17.txt,0.0015982813848906545,0.040126889026261464,0.20597282456754887,0.007469397343201857,0.013453825608979408,0.34362340098561023,0.0021516520678035787,0.12924851955356387,0.008333846821426698,0.2480213626407134
21,83471_2000-05-24.txt,4.222353486818537E-5,0.043501396076075144,0.11318190136822229,0.0018384053940130876,0.010458901447332613,0.3558987852250583,0.017451572693141806,0.21539220324171165,0.00859936410441579,0.23363524691516113
22,83471_2000-05-31.txt,0.004694129349941886,0.05815203814158724,0.07137829957546406,0.005892670152571538,0.009183320182614111,0.36530177441601186,0.007641796079783114,0.19735176094738113,0.006933016497329258,0.27347119465731584
23,83471_2000-06-07.txt,2.323338658424472E-4,0.054056983546592094,0.11737619998034088,9.870264633919737E-4,0.022798993692377832,0.3574822738879109,0.016551757843109683,0.13967228883830496,0.01818272779857786,0.27265941408355143
24,83471_2000-06-14.txt,0.0018096682300383618,0.07300427088520735,0.10471670392406394,0.005576792315069091,0.0224517170114288,0.3805575902994742,0.003475539344570875,0.12854015369123395,0.005622127014257985,0.27424543728465545
25,83471_2000-06-21.txt,8.183794834931026E-4,0.08061625231041646,0.12186575160857598,0.006967621903772379,0.019458651142503752,0.32489065805641565,0.0023878620599645938,0.19074782216674993,0.007666685849138114,0.24458031541897007
26,83471_2000-06-28.txt,4.0770749974373265E-5,0.09948456253326221,0.0547087155122618,0.00663260931083623,0.04902617014107325,0.34601464226737433,0.007945777024271135,0.13734567117225155,0.005604898105721811,0.29319618318297336
27,83471_2000-07-05.txt,0.0036235266259710083,0.1428435381600821,0.034627691712671,0.0022311817711693728,0.036056425348007334,0.38202090115625026,0.00904100517895032,0.08462871872514281,0.010662474488147456,0.29426453683360837
28,83471_2000-07-12.txt,7.099806649968327E-4,0.10906477881378347,0.03792842091478852,0.0017322147765805591,0.056819717792844,0.40342611488802443,0.006226950760800039,0.10913812764028459,0.005144154515124736,0.26980953923277284
29,83471_2000-07-19.txt,0.00726928011555612,0.1374127962157621,0.06752522041006159,7.389796366125874E-4,0.03330488235005352,0.38589051510216016,0.02275723316534493,0.08291155091906,0.00635468406425523,0.25583485802113376
30,83471_2000-07-26.txt,4.5221995667445484E-5,0.09470649550978183,0.07774298431238105,2.3369664039628568E-5,0.06919512378851884,0.3292403318414251,0.0011057540775945807,0.11791877357785487,0.01901281036494757,0.2910091348677891
31,83471_2000-08-02.txt,3.2814060643280196E-4,0.09454514939286181,0.027931565033914238,0.006863972903274447,0.040387057250475464,0.3787763111114211,0.019939098826333466,0.15891421057636926,0.012548774574574786,0.25976571972434265
32,83471_2000-08-09.txt,0.00379045432417881,0.03201298693196,0.04430421231162836,0.0024071807875066585,0.02383803933737593,0.36877879195177554,0.03618217128848056,0.22937386816587488,0.0016414241404794474,0.2576708707607398
33,83471_2000-08-16.txt,4.3584742730366754E-5,0.08529161532871776,0.08762162920612342,0.0038449418260230626,0.03517300840387671,0.33484568127843645,0.04693473955110172,0.13492527318735525,0.002025087112964072,0.2692944393626712
